Date,Open,High,Low,Close,Volume,ticker,Year,Month,Day
2006-03-06,2.030094199070975,2.0309935507442667,1.9476191258420923,1.9638136625289917,912665600,AAPL,2006,3,6
2006-03-07,1.9722092846695223,2.006399631831625,1.9518159241365007,1.9887043237686157,872877600,AAPL,2006,3,7
2006-03-08,1.988106806807595,2.015398686967895,1.9599155749568722,1.9692124128341675,653251200,AAPL,2006,3,8
2006-03-09,1.9788092854443653,1.9935048311425452,1.9137286398162368,1.9173270463943481,799304800,AAPL,2006,3,9
2006-03-10,1.9209265784416136,1.9341225414062262,1.8729408035433657,1.895134687423706,1043142800,AAPL,2006,3,10
2006-03-13,1.950916697173715,1.9878059151374852,1.9431196501868273,1.9698110818862915,861187600,AAPL,2006,3,13
2006-03-14,1.9725107468134229,2.0189967155456543,1.9644131819279222,2.0189967155456543,642020400,AAPL,2006,3,14
2006-03-15,2.03069367125812,2.0405909435340592,1.965013375121637,1.98630690574646,891996000,AAPL,2006,3,15
2006-03-16,2.004900288853279,2.0064000748072046,1.9284234181176712,1.9287233352661133,749638400,AAPL,2006,3,16
2006-03-17,1.9419196407738382,1.9656123013839233,1.9227255384565078,1.9392207860946655,812042000,AAPL,2006,3,17
2006-03-20,1.956016297880051,1.963213712865197,1.9155276602258442,1.9191268682479858,605441200,AAPL,2006,3,20
2006-03-21,1.8537464141845703,1.9296236903157047,1.8411502878193733,1.8537464141845703,1345366400,AAPL,2006,3,21
2006-03-22,1.864243050755898,1.8969336318074659,1.8375508149291278,1.8495475053787231,1345895600,AAPL,2006,3,22
2006-03-23,1.8540467336617648,1.8564460728772845,1.7877669899518651,1.8042614459991455,1427826400,AAPL,2006,3,23
2006-03-24,1.8069609525610897,1.8276548488549538,1.7703712368375497,1.7982635498046875,1071980000,AAPL,2006,3,24
2006-03-27,1.8099594873789349,1.8408505727114268,1.7814685415933147,1.7847670316696167,1108072000,AAPL,2006,3,27
2006-03-28,1.7883656007152366,1.8036607788221266,1.7469778237893083,1.76077401638031,1370322800,AAPL,2006,3,28
2006-03-29,1.773370975143469,1.8750403613426725,1.729584039957357,1.8693417310714722,2346834000,AAPL,2006,3,29
2006-03-30,1.8840369247945274,1.8984327541587007,1.8453487965799136,1.8819375038146973,1390650800,AAPL,2006,3,30
2006-03-31,1.8969338052332856,1.9077304272014153,1.866642359290473,1.8810381889343262,815357200,AAPL,2006,3,31
2006-04-03,1.9095301577944503,1.9230256351252422,1.8777389247528553,1.8789387941360474,815791200,AAPL,2006,4,3
2006-04-04,1.8624433539780512,1.86604256133825,1.830952842276642,1.8345520496368408,931924000,AAPL,2006,4,4
2006-04-05,1.940719801838103,2.015697717666626,1.9239248351840097,2.015697717666626,2233408800,AAPL,2006,4,5
2006-04-06,2.0483884284086225,2.160854408271028,2.045388855103953,2.1365621089935303,2663768800,AAPL,2006,4,6
2006-04-07,2.1272653359145135,2.1356628231766455,2.053487455014043,2.093075752258301,1545238800,AAPL,2006,4,7
2006-04-10,2.108070157626871,2.1272644635581566,2.052886978550992,2.0594849586486816,903515200,AAPL,2006,4,10
2006-04-11,2.0690824015796205,2.0783792372381362,2.0114990808642785,2.039090871810913,939316000,AAPL,2006,4,11
2006-04-12,2.0396912281775053,2.044489504365224,1.9884059725292977,2.000702381134033,739894400,AAPL,2006,4,12
2006-04-13,1.9896053623976568,2.0225948513477365,1.9737097515530244,1.993504285812378,734678000,AAPL,2006,4,13
2006-04-17,1.9947039216608133,2.004601191607491,1.929923192583317,1.9437193870544434,721938000,AAPL,2006,4,17
2006-04-18,1.9506168649527362,1.9935046294848748,1.9431197348635234,1.986006498336792,794844400,AAPL,2006,4,18
2006-04-19,2.0040018462730336,2.009399756756796,1.9635132130909998,1.968912124633789,1086033200,AAPL,2006,4,19
2006-04-20,2.084678558249187,2.0993741129721792,1.9854082841881233,2.0282952785491943,1666982800,AAPL,2006,4,20
2006-04-21,2.045088614598224,2.0585848891086678,1.9935044559412467,2.010599136352539,788986800,AAPL,2006,4,21
2006-04-24,2.0049012162689146,2.007000637279148,1.9644135837709735,1.9719107151031494,707028000,AAPL,2006,4,24
2006-04-25,1.9782085456137941,1.997102729939404,1.9662126575967842,1.984506607055664,529062800,AAPL,2006,4,25
2006-04-26,1.9989027707750298,2.0477878846626045,1.991405439605183,2.0438897609710693,710886400,AAPL,2006,4,26
2006-04-27,2.0312933912240867,2.0951737603902023,2.0198961358297134,2.0801784992218018,845947200,AAPL,2006,4,27
2006-04-28,2.0807786694563406,2.1383617925562195,2.075380758451908,2.111069917678833,760037600,AAPL,2006,4,28
2006-05-01,2.122465352292455,2.1455585760442495,2.0741798848327884,2.0873756408691406,750380400,AAPL,2006,5,1
2006-05-02,2.1038714401420453,2.1587549001686415,2.1026721714616188,2.147958278656006,771663200,AAPL,2006,5,2
2006-05-03,2.154256216857296,2.157855424173362,2.1047714708677807,2.1335623264312744,686991200,AAPL,2006,5,3
2006-05-04,2.135961250493259,2.1860464266223194,2.113168742384943,2.1332623958587646,860420400,AAPL,2006,5,4
2006-05-05,2.155157090666871,2.166853267036633,2.1338627579581373,2.1560566425323486,563911600,AAPL,2006,5,5
2006-05-08,2.189046951398989,2.2133392564277012,2.1509584478511727,2.1560566425323486,594851600,AAPL,2006,5,8
2006-05-09,2.1539571908354853,2.1761508748868446,2.1179679090939025,2.1302645206451416,531666800,AAPL,2006,5,9
2006-05-10,2.1380605927768603,2.1392604618593576,2.0876757014764946,2.1173675060272217,459888800,AAPL,2006,5,10
2006-05-11,2.1230655182928215,2.1245653048656665,2.025894724638497,2.0438897609710693,812688800,AAPL,2006,5,11
2006-05-12,2.034891682143816,2.0600841303902486,2.005200675380276,2.030393123626709,641774000,AAPL,2006,5,12
2006-05-15,2.0204966464496383,2.0507881002198345,2.012999312931244,2.033092975616455,529177600,AAPL,2006,5,15
